ID,SchoolID,Firstname,Surname,Gender,Ethnicity,YearReal,LookedAfterChild,DateOfBirth,AutumnBorn,SpringBorn,SummerBorn,MilitaryFamily
48658873-865A-432E-B663-3FAAF3951CFA,3,Joe,Ridgard,M,WCOR,2,0,20141028,1,0,0,0
1E468FDA-2C39-47B2-9E12-B537AA4398BC,5,Emily,Sutton,M,WBRI,8,0,20090410,0,0,1,0
346EA0B2-505A-441C-9291-E0172AA2C115,1,Safa,Garcia Neves,F,AOPK,5,0,20120405,0,0,1,0
5E1496E9-C6E9-42A4-804E-B9C3CDB97A4E,4,Maha,Wright,F,WCOR,1,0,20151231,1,0,0,0
F7E6328A-A2A1-45A8-9DF3-B71DCABC7D06,3,Brayden,Sowersby,F,WCOR,2,0,20140613,0,0,1,0
4802F3EB-A44B-404B-B44C-682B6D780785,2,Zakaria,Yousif,F,WBRI,8,0,20090219,0,1,0,0
E95321AC-3D8E-41D4-8FBC-BC2AEFA404E5,1,Jacey,Ali,F,AOPK,9,0,20080405,0,0,1,0
7754E9DF-07AF-46DA-8B56-067385E7DB07,2,Hayden,MAHMOOD,F,WBRI,8,0,20080923,1,0,0,0
9EAF2287-B4D8-48F5-A35A-6ACA68547C3E,2,Sophia,Erzuah,M,WBRI,8,0,20090321,0,1,0,0
064D88CD-A787-48EA-8BDB-EB52AC82DFF3,3,Phoebe,Hastie-Banks,M,WCOR,8,0,20090227,0,1,0,0
C1DD62A1-C39B-4E5C-BD5F-DEE7A71A5AD9,2,Yuet Sum,Saad,F,WBRI,7,0,20100318,0,1,0,0
4F031C0A-315D-4C3B-87B6-53F0DF4D75CF,1,Eleanor,Attiah,M,BAOF,9,0,20071104,1,0,0,0
4D3993FA-5045-4498-8E11-02FCFA13DF31,1,Nathan,de Andrade Barbosa,M,AOPK,6,0,20110427,0,0,1,0
80B07A9B-0DDE-4895-8D23-9FE24F8125E2,5,Nathan,Szvetkov,M,WBRI,8,0,20081117,1,0,0,0
80825310-EEA1-4DFC-8CE6-7E6168985D57,5,Elloise Rose,Kruk,F,WBRI,9,0,20080820,0,0,1,0
190DF203-DF73-4CD3-999B-0C92BCF6E3ED,3,Livia,Wareing,M,WOWB,3,0,20140730,0,0,1,0
A6AF38DA-C04D-430F-A0AD-772F98082733,3,Bisma,Wan-Syakir,F,WCOR,5,0,20111120,1,0,0,0
D8D995D8-228A-4116-B169-8DD154580AD8,1,Maisie,Oseni,F,ABAN,7,0,20090715,0,0,1,0
3FE5B192-AFD3-4818-890F-6B47C848A163,3,Navin,Wright,F,WOWB,9,0,20080318,0,1,0,0
5E1496E9-C6E9-42A4-804E-B9C3CDB97A4E,3,Zainab,BETTERIDGE,F,WCOR,1,0,20151231,1,0,0,0
72C24A9D-501A-428B-A515-429E1DACCCB7,3,Rayah,Weatherley,M,WCOR,5,0,20111121,1,0,0,0
9795C5E6-F8DE-4506-A3E9-053DDBC9B2C0,3,Archie,PIECH,M,WCOR,4,0,20121125,1,0,0,0
703DF230-6AA7-4FAC-8467-94DC4AE7468B,2,Jacob,THOMPSON,M,MOTH,8,0,20090618,0,0,1,0
40CB86B9-D33D-4BC8-8B47-A3DA534331AA,5,Evelyn,Eaton,F,WOTH,7,0,20100111,0,1,0,0
3C45D605-F722-4519-ABA6-B33862A31D67,5,Lea,RAHANU,F,WBRI,7,0,20100827,0,0,1,0
63571038-0ECA-4209-828D-479C4C866321,1,Savannah,Harrison,F,AIND,3,0,20140609,0,0,1,0
33FF24AB-C0B4-4D58-8667-F9891B44AF65,5,Tomas,Morris,F,WBRI,9,0,20071217,1,0,0,0
7AB34280-CF0C-4486-AA3F-286B9E6279A4,5,Brayden,Thaher,F,WBRI,8,0,20090703,0,0,1,0
BE461FB1-C6D7-4B94-9234-E07208BBBF9F,2,Roberth,Ogden-Friel,F,WBRI,7,0,20100304,0,1,0,0
75F65AB5-1B5C-4392-9C04-2E47BDBE8E2B,1,Molly,Deakin,M,AOPK,1,0,20160712,0,0,1,0
24711047-4A8A-4C6D-BE1C-47EF3E9FCB20,5,Mia,Forder,F,WBRI,9,0,20071019,1,0,0,0
5B065ED6-79A5-41C3-904C-0BA9483507FD,3,Samuel,Sharma,M,WOWB,6,0,20101105,1,0,0,0
54DD94DF-1D4A-4FBD-86C3-3B88DC433013,2,Jake Anthony,Matthews,M,WBRI,9,0,20080823,0,0,1,0
ABD2AAFD-0DAB-4CC1-A29D-AF4428E2832B,2,River,Richardson,F,WBRI,8,0,20081223,1,0,0,0
FD347ABB-6A71-4098-8EBA-70055E616620,5,Curtis,Byrne,M,WBRI,8,0,20090414,0,0,1,0
7687842C-F1E5-4BA7-BC6F-3B97BBBFE7AE,3,Karlton,Rizvi,M,WCOR,4,0,20120905,1,0,0,0
262460BA-F1F1-4D37-A23A-10DF0418BA42,5,Chloe,Poonawala,F,WBRI,8,0,20081002,1,0,0,0
E566BE20-F43B-4FD3-9AA0-C21EC3898DFA,5,Hattie-Rose,Whitehead,M,WBRI,8,0,20090529,0,0,1,0
0D8CA403-B25C-44DE-9408-F79E68A6D0C0,5,Theo,Jarvis,M,WBRI,7,0,20091001,1,0,0,0
D6D1AAF4-2A38-4D6C-AD95-2A53CBBA6830,1,Jason,Ayansola,M,WEUR,9,0,20071011,1,0,0,0
